Country/Territory,UN region,IMF[1][13],IMF[1][13],World Bank[14],World Bank[14],United Nations[15],United Nations[15]
Country/Territory,UN region,Estimate,Year,Estimate,Year,Estimate,Year
World,—,105568776,2023,100562011,2022,96698005,2021
United States,Americas,26854599,2023,25462700,2022,23315081,2021
China,Asia,19373586,[n 1]2023,17963171,[n 3]2022,17734131,[n 1]2021
Japan,Asia,4409738,2023,4231141,2022,4940878,2021
Germany,Europe,4308854,2023,4072192,2022,4259935,2021
India,Asia,3736882,2023,3385090,2022,3201471,2021
United Kingdom,Europe,3158938,2023,3070668,2022,3131378,2021
France,Europe,2923489,2023,2782905,2022,2957880,2021
Italy,Europe,2169745,2023,2010432,2022,2107703,2021
Canada,Americas,2089672,2023,2139840,2022,1988336,2021
Brazil,Americas,2081235,2023,1920096,2022,1608981,2021
Russia,Europe,2062649,2023,2240422,2022,1778782,2021
South Korea,Asia,1721909,2023,1665246,2022,1810966,2021
Australia,Oceania,1707548,2023,1675419,2022,1734532,2021
Mexico,Americas,1663164,2023,1414187,2022,1272839,2021
Spain,Europe,1492432,2023,1397509,2022,1427381,2021
Indonesia,Asia,1391778,2023,1319100,2022,1186093,2021
Netherlands,Europe,1080880,2023,991115,2022,1012847,2021
Saudi Arabia,Asia,1061902,2023,1108149,2022,833541,2021
Turkey,Asia,1029303,2023,905988,2022,819034,2021
Switzerland,Europe,869601,2023,807706,2022,812867,2021
Taiwan,Asia,790728,[n 4]2023,—,—,—,—
Poland,Europe,748887,2023,688177,2022,679442,2021
Argentina,Americas,641102,2023,632770,2022,487227,2021
Belgium,Europe,624248,2023,578604,2022,594104,2021
Sweden,Europe,599052,2023,585939,2022,635664,2021
Ireland,Europe,594095,2023,529245,2022,504183,2021
Thailand,Asia,574231,2023,495341,2022,505982,2021
Norway,Europe,554105,2023,579267,2022,482175,2021
Israel,Asia,539223,2023,522033,2022,481591,2021
Singapore,Asia,515548,2023,466789,2022,396992,2021
Austria,Europe,515199,2023,471400,2022,480368,2021
Nigeria,Africa,506601,2023,477386,2022,430923,2021
United Arab Emirates,Asia,498978,2023,507535,2022,405468,2021
Vietnam,Asia,449094,2023,408802,2022,366138,2021
Malaysia,Asia,447026,2023,406306,2022,372702,2021
Philippines,Asia,440901,2023,404284,2022,394086,2021
Bangladesh,Asia,420516,2023,460201,2022,414907,2021
Denmark,Europe,405626,2023,395404,2022,398303,2021
South Africa,Africa,399015,2023,405870,2022,419016,2021
Hong Kong,Asia,382854,[n 5]2023,359839,2022,369174,2021
Egypt,Africa,378110,2023,476748,2022,425906,2021
Pakistan,Asia,—,—,376533,2022,342501,2021
Iran,Asia,367970,2023,388544,2022,594892,2021
Chile,Americas,358557,2023,301025,2022,317059,2021
Romania,Europe,348902,2023,301262,2022,284086,2021
Colombia,Americas,334689,2023,343939,2022,314464,2021
Czech Republic,Europe,330483,2023,290924,2022,281778,2021
Finland,Europe,301670,2023,280826,2022,297302,2021
Peru,Americas,268235,2023,242632,2022,223252,2021
Iraq,Asia,267893,2023,264182,2022,204004,2021
Portugal,Europe,267721,2023,251945,2022,253663,2021
New Zealand,Oceania,251969,2023,247234,2022,250451,2021
Kazakhstan,Asia,245695,2023,220623,2022,193018,2021
Greece,Europe,239300,2023,219066,2022,214874,2021
Qatar,Asia,219570,2023,237296,2022,179571,2021
Algeria,Africa,206007,2023,191913,2022,163473,2021
Hungary,Europe,188505,2023,178789,2022,181848,2021
Kuwait,Asia,164713,2023,184558,2022,136642,2021
Ethiopia,Africa,156083,2023,126783,2022,99269,2021
Ukraine,Europe,148712,[n 6]2023,160503,[n 6]2022,200086,[n 6]2021
Morocco,Africa,138781,2023,134182,2022,142867,[n 7]2021
Slovakia,Europe,127533,2023,115469,2022,116527,2021
Ecuador,Americas,121291,2023,115049,2022,106166,2021
Dominican Republic,Americas,121289,2023,113642,2022,94243,2021
Puerto Rico,Americas,120838,2023,113435,2022,106526,2021
Kenya,Africa,118130,2023,113420,2022,110347,2021
Angola,Africa,117877,2023,106714,2022,70533,2021
Cuba,Americas,—,—,107352,2020,126694,2021
Oman,Asia,104902,2023,114667,2022,88192,2021
Guatemala,Americas,102309,2023,95003,2022,85986,2021
Bulgaria,Europe,100635,2023,89040,2022,84058,2021
Venezuela,Americas,96628,2023,—,—,111813,2021
Uzbekistan,Asia,92332,2023,80392,2022,69239,2021
Luxembourg,Europe,86971,2023,82275,2022,85506,2021
Tanzania,Africa,85421,2023,75709,2022,70297,[n 8]2021
Turkmenistan,Asia,82649,2023,—,—,53954,2021
Croatia,Europe,78881,2023,70965,2022,68955,2021
Lithuania,Europe,78346,2023,70334,2022,66445,2021
Costa Rica,Americas,77777,2023,68381,2022,64282,2021
Uruguay,Americas,77313,2023,71177,2022,59318,2021
Panama,Americas,77257,2023,76523,2022,63605,2021
Ivory Coast,Africa,77047,2023,70019,2022,69765,2021
Sri Lanka,Asia,—,—,74404,2022,85309,2021
Serbia,Europe,73961,2023,63502,2022,63068,2021
Belarus,Europe,73543,2023,72793,2022,68206,2021
Azerbaijan,Asia,70030,2023,78721,2022,54622,2021
DR Congo,Africa,69474,2023,58066,2022,52850,2021
Slovenia,Europe,68108,2023,62118,2022,61749,2021
Ghana,Africa,66622,2023,72839,2022,79083,2021
Myanmar,Asia,63988,2023,59364,2022,58582,2021
Jordan,Asia,52061,2023,47452,2022,45244,2021
Tunisia,Africa,49815,2023,46665,2022,46687,2021
Uganda,Africa,49792,2023,45559,2022,42661,2021
Cameroon,Africa,48625,2023,44342,2022,45368,2021
Latvia,Europe,47398,2023,41154,2022,39854,2021
Sudan,Africa,46705,2023,51662,2022,35867,2021
Libya,Africa,46297,2023,45752,2022,39006,2021
Bolivia,Americas,46097,2023,43069,2022,40408,2021
Bahrain,Asia,44870,2023,44391,2022,38869,2021
Paraguay,Americas,42820,2023,41722,2022,40458,2021
Nepal,Asia,42097,2023,40828,2022,36207,2021
Estonia,Europe,41551,2023,38101,2022,37191,2021
Macau,Asia,35841,[n 9]2023,21979,2022,29905,2021
El Salvador,Americas,33752,2023,32489,2022,28737,2021
Honduras,Americas,32860,2023,31718,2022,28489,2021
Papua New Guinea,Oceania,31362,2023,30633,2022,26595,2021
Senegal,Africa,31221,2023,27684,2022,27625,2021
Cyprus,Asia,30864,[n 10]2023,28439,[n 10]2022,28408,[n 10]2021
Cambodia,Asia,30628,2023,29957,2022,26669,2021
Zimbabwe,Africa,29931,2023,20678,2022,24118,2021
Zambia,Africa,29272,2023,29784,2022,21313,2021
Iceland,Europe,28625,2023,27842,2022,25602,2021
Bosnia and Herzegovina,Europe,28488,2023,24528,2022,23365,2021
Trinidad and Tobago,Americas,28223,2023,27899,2022,24460,2021
Georgia,Europe,27947,[n 11]2023,24605,[n 11]2022,18696,[n 11]2021
Haiti,Americas,26580,2023,20254,2022,19044,2021
Lebanon,Asia,—,—,—,—,37945,2021
Armenia,Asia,23725,2023,19503,2022,13861,2021
Guinea,Africa,23330,2023,21228,2022,16036,2021
Burkina Faso,Africa,21076,2023,18885,2022,19738,2021
Mali,Africa,20776,2023,18827,2022,19157,2021
Gabon,Africa,20330,2023,21072,2022,18521,2021
Albania,Europe,20177,2023,18882,2022,18260,2021
Afghanistan,Asia,—,—,—,—,14939,2021
Mozambique,Africa,19909,2023,17851,2022,15777,2021
